=== LOGIN + ENTER PLOT FLOW ===
File: c:/sniff/interrior_exterrior_advanced_editor/dumps/dump_12.0.1.66838_2026-04-15_09-35-59.pkt
Total packets: 12615
CMSG_PLAYER_LOGIN   @idx 419
SMSG_LOGIN_VERIFY_WORLD @idx 5393
SMSG_HOUSING_HOUSE_STATUS_RESPONSE @idx 6450
Dumping packets [0..6500]

[  207] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  208] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  209] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  210] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  211] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  212] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  213] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  214] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  215] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  216] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  217] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  218] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  219] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  220] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  221] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  222] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  223] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  224] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  225] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  226] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  227] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  228] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  229] t=4790098380707226042 CMSG 0x00400010 size=   314 unk_0x00400010
[  230] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  231] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  232] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  233] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  234] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  235] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  236] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  237] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  238] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  239] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  240] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  241] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  242] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  243] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  244] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  245] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  246] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  247] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  248] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  249] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  250] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  251] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  252] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
[  253] t=4790098380707494081 SMSG 0x00460000 size=    21 unk_0x00460000
[  254] t=4790098380707494081 SMSG 0x00460000 size=    37 unk_0x00460000
